workerid,proliferate.condition,id,response,sentence,slide_number_in_experiment,strangeSentence,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
21,condition1,example1,6,,2,,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,example2,2,,3,,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,150826:22,5,"but i wonder if maybe in <strong>some, but not all</strong> civil cases it doesn't work as well.",5,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,37224:9,6,"but in <strong>some, but not all</strong> ways i think we are expected  to do it all.",6,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,77264:6,6,"and <strong>some, but not all</strong> people said to me,"" well, that's our wintertime.""",7,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,47262:53,1,"the, uh, the movie, the doors, has so-, <strong>some, but not all</strong> nice desert scenes,",8,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,26291:55,5,"and, and, it's, it's limited application in <strong>some, but not all</strong> respects.",9,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,164050:47,3,"but there's so many occasions when i've had  to move <strong>some, but not all</strong> members of the family or do this or that ,",10,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,89580:13,7,"and i enjoy <strong>some, but not all</strong> of the michael j. fox movies.",11,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,103477:18,5,"but i know in <strong>some, but not all</strong> areas, it's really, it, it really is bad.",12,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,38898:13,7,"and i did <strong>some, but not all</strong> of that.",13,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,135535:24,6,"and then make movies out of <strong>some, but not all</strong> of them.",14,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,152284:11,3,"like in <strong>some, but not all</strong> of the large oil companies. there has been massive lay offs.",15,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,138155:36,1,"and i kind of drew up some simple plans to make <strong>some, but not all</strong> book shelves",16,1,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,83988:6,5,"and <strong>some, but not all</strong> people will still buy them, you know,",17,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,165750:14,2,"i've driven <strong>some, but not all</strong>, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars.",18,1,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,126761:25,4,"e-, even in <strong>some, but not all</strong> families some people talk a little bit different.",19,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,4528:7,6,"and <strong>some, but not all</strong> of them fizzled out",20,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,47420:60,3,"and i never had  to watch the news not, you know, not like <strong>some, but not all</strong> people hour and a half a day or anything.",21,1,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,24418:16,1,"they actually should do <strong>some, but not all</strong> reading",22,1,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,164110:55,3,"i think that we're going  to be, uh, owning a mini van for <strong>some, but not all</strong> years  to come.",23,1,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
21,condition1,13059:11,7,"i sold <strong>some, but not all</strong> of them,",24,0,[],37,Yes,"seems like in some cases the ""but not all"" shifts the qud",4,2,0,Female,german,Chrome,Mac,1440,2560,3.1366833333333335,
17,condition1,example1,6,,2,,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,example2,1,,3,,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,150826:22,6,"but i wonder if maybe in <strong>some, but not all</strong> civil cases it doesn't work as well.",5,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,37224:9,4,"but in <strong>some, but not all</strong> ways i think we are expected  to do it all.",6,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,77264:6,5,"and <strong>some, but not all</strong> people said to me,"" well, that's our wintertime.""",7,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,47262:53,2,"the, uh, the movie, the doors, has so-, <strong>some, but not all</strong> nice desert scenes,",8,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,26291:55,6,"and, and, it's, it's limited application in <strong>some, but not all</strong> respects.",9,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,164050:47,2,"but there's so many occasions when i've had  to move <strong>some, but not all</strong> members of the family or do this or that ,",10,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,89580:13,7,"and i enjoy <strong>some, but not all</strong> of the michael j. fox movies.",11,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,103477:18,7,"but i know in <strong>some, but not all</strong> areas, it's really, it, it really is bad.",12,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,38898:13,6,"and i did <strong>some, but not all</strong> of that.",13,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,135535:24,6,"and then make movies out of <strong>some, but not all</strong> of them.",14,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,152284:11,7,"like in <strong>some, but not all</strong> of the large oil companies. there has been massive lay offs.",15,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,138155:36,2,"and i kind of drew up some simple plans to make <strong>some, but not all</strong> book shelves",16,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,83988:6,5,"and <strong>some, but not all</strong> people will still buy them, you know,",17,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,165750:14,2,"i've driven <strong>some, but not all</strong>, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars.",18,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,126761:25,3,"e-, even in <strong>some, but not all</strong> families some people talk a little bit different.",19,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,4528:7,6,"and <strong>some, but not all</strong> of them fizzled out",20,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,47420:60,3,"and i never had  to watch the news not, you know, not like <strong>some, but not all</strong> people hour and a half a day or anything.",21,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,24418:16,2,"they actually should do <strong>some, but not all</strong> reading",22,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,164110:55,1,"i think that we're going  to be, uh, owning a mini van for <strong>some, but not all</strong> years  to come.",23,1,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
17,condition1,13059:11,7,"i sold <strong>some, but not all</strong> of them,",24,0,[],25,Yes,,4,2,0,Male,english,Chrome,Windows,800,1280,2.9778166666666666,
12,condition1,example1,5,,2,,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,example2,2,,3,,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,150826:22,6,"but i wonder if maybe in <strong>some, but not all</strong> civil cases it doesn't work as well.",5,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,37224:9,5,"but in <strong>some, but not all</strong> ways i think we are expected  to do it all.",6,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,77264:6,6,"and <strong>some, but not all</strong> people said to me,"" well, that's our wintertime.""",7,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,47262:53,2,"the, uh, the movie, the doors, has so-, <strong>some, but not all</strong> nice desert scenes,",8,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,26291:55,5,"and, and, it's, it's limited application in <strong>some, but not all</strong> respects.",9,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,164050:47,6,"but there's so many occasions when i've had  to move <strong>some, but not all</strong> members of the family or do this or that ,",10,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,89580:13,5,"and i enjoy <strong>some, but not all</strong> of the michael j. fox movies.",11,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,103477:18,2,"but i know in <strong>some, but not all</strong> areas, it's really, it, it really is bad.",12,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,38898:13,5,"and i did <strong>some, but not all</strong> of that.",13,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,135535:24,6,"and then make movies out of <strong>some, but not all</strong> of them.",14,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,152284:11,5,"like in <strong>some, but not all</strong> of the large oil companies. there has been massive lay offs.",15,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,138155:36,1,"and i kind of drew up some simple plans to make <strong>some, but not all</strong> book shelves",16,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,83988:6,2,"and <strong>some, but not all</strong> people will still buy them, you know,",17,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,165750:14,1,"i've driven <strong>some, but not all</strong>, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars.",18,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,126761:25,5,"e-, even in <strong>some, but not all</strong> families some people talk a little bit different.",19,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,4528:7,6,"and <strong>some, but not all</strong> of them fizzled out",20,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,47420:60,1,"and i never had  to watch the news not, you know, not like <strong>some, but not all</strong> people hour and a half a day or anything.",21,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,24418:16,2,"they actually should do <strong>some, but not all</strong> reading",22,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,164110:55,1,"i think that we're going  to be, uh, owning a mini van for <strong>some, but not all</strong> years  to come.",23,1,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
12,condition1,13059:11,7,"i sold <strong>some, but not all</strong> of them,",24,0,[],,Yes,,-1,2,-1,,,Chrome,Mac,960,1536,4.98645,
7,condition1,example1,6,,2,,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,example2,1,,3,,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,150826:22,7,"but i wonder if maybe in <strong>some, but not all</strong> civil cases it doesn't work as well.",5,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,37224:9,1,"but in <strong>some, but not all</strong> ways i think we are expected  to do it all.",6,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,77264:6,3,"and <strong>some, but not all</strong> people said to me,"" well, that's our wintertime.""",7,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,47262:53,1,"the, uh, the movie, the doors, has so-, <strong>some, but not all</strong> nice desert scenes,",8,1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,26291:55,5,"and, and, it's, it's limited application in <strong>some, but not all</strong> respects.",9,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,164050:47,6,"but there's so many occasions when i've had  to move <strong>some, but not all</strong> members of the family or do this or that ,",10,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,89580:13,7,"and i enjoy <strong>some, but not all</strong> of the michael j. fox movies.",11,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,103477:18,7,"but i know in <strong>some, but not all</strong> areas, it's really, it, it really is bad.",12,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,38898:13,7,"and i did <strong>some, but not all</strong> of that.",13,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,135535:24,7,"and then make movies out of <strong>some, but not all</strong> of them.",14,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,152284:11,7,"like in <strong>some, but not all</strong> of the large oil companies. there has been massive lay offs.",15,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,138155:36,1,"and i kind of drew up some simple plans to make <strong>some, but not all</strong> book shelves",16,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,83988:6,4,"and <strong>some, but not all</strong> people will still buy them, you know,",17,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,165750:14,1,"i've driven <strong>some, but not all</strong>, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars.",18,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,126761:25,2,"e-, even in <strong>some, but not all</strong> families some people talk a little bit different.",19,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,4528:7,6,"and <strong>some, but not all</strong> of them fizzled out",20,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,47420:60,1,"and i never had  to watch the news not, you know, not like <strong>some, but not all</strong> people hour and a half a day or anything.",21,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,24418:16,1,"they actually should do <strong>some, but not all</strong> reading",22,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,164110:55,1,"i think that we're going  to be, uh, owning a mini van for <strong>some, but not all</strong> years  to come.",23,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
7,condition1,13059:11,6,"i sold <strong>some, but not all</strong> of them,",24,0,[],,Yes,,-1,-1,-1,,,Chrome,Windows,1080,1920,3.3106833333333334,
3,condition1,example1,6,,2,,[],21,Yes,,2,2,-1,Female,English,Chrome,Mac,900,1440,8.758166666666666,
3,condition1,example2,2,,3,,[],21,Yes,,2,2,-1,Female,English,Chrome,Mac,900,1440,8.758166666666666,
3,condition1,150826:22,2,"but i wonder if maybe in <strong>some, but not all</strong> civil cases it doesn't work as well.",5,0,[],21,Yes,,2,2,-1,Female,English,Chrome,Mac,900,1440,8.758166666666666,
3,condition1,37224:9,2,"but in <strong>some, but not all</strong> ways i think we are expected  to do it all.",6,0,[],21,Yes,,2,2,-1,Female,English,Chrome,Mac,900,1440,8.758166666666666,
3,condition1,77264:6,4,"and <strong>some, but not all</strong> people said to me,"" well, that's our wintertime.""",7,0,[],21,Yes,,2,2,-1,Female,English,Chrome,Mac,900,1440,8.758166666666666,
